"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Oct-2020","EQ","853.00","858.35","806.70","848.85","811.25","812.40","821.14","887.55","471.40","8,893,099","7,302,448,149.40","155,057"
"14-Oct-2020","EQ","869.00","873.80","845.60","868.20","847.95","848.85","855.95","887.55","471.40","5,346,619","4,576,420,237.15","93,023"
"13-Oct-2020","EQ","856.90","879.90","851.00","856.90","863.95","868.20","867.68","887.55","471.40","7,327,536","6,357,987,476.00","160,131"
"12-Oct-2020","EQ","861.00","864.80","848.40","854.15","858.95","856.90","856.89","887.55","471.40","3,343,240","2,864,803,715.50","55,971"
"09-Oct-2020","EQ","860.50","862.45","845.25","860.30","856.00","854.15","853.69","887.55","471.40","5,306,816","4,530,368,462.50","75,089"
"08-Oct-2020","EQ","862.00","887.55","857.65","846.35","862.50","860.30","873.37","887.55","471.40","11,398,850","9,955,410,411.25","170,864"
"07-Oct-2020","EQ","847.00","848.15","837.25","847.40","847.00","846.35","843.15","854.95","471.40","3,943,818","3,325,242,101.05","77,156"
"06-Oct-2020","EQ","854.95","854.95","832.50","841.25","846.00","847.40","841.22","854.95","471.40","4,902,536","4,124,102,642.55","136,590"
"05-Oct-2020","EQ","822.55","850.95","821.85","822.50","845.35","841.25","835.42","850.95","471.40","8,551,126","7,143,802,414.15","148,805"
"01-Oct-2020","EQ","798.20","825.35","797.85","791.75","821.85","822.50","814.81","845.90","471.40","10,104,769","8,233,475,058.00","157,925"
"30-Sep-2020","EQ","773.00","794.80","765.65","768.15","789.55","791.75","780.78","845.90","471.40","5,433,724","4,242,552,338.80","80,851"
"29-Sep-2020","EQ","785.00","790.00","764.00","779.40","764.85","768.15","776.99","845.90","471.40","7,041,880","5,471,450,657.80","71,888"
"28-Sep-2020","EQ","779.35","784.40","772.00","772.35","778.00","779.40","777.36","845.90","471.40","3,604,523","2,802,019,094.10","59,736"
"25-Sep-2020","EQ","755.05","777.35","748.65","751.85","774.45","772.35","766.33","845.90","471.40","6,986,586","5,354,055,710.85","104,052"
"24-Sep-2020","EQ","787.95","787.95","747.55","793.05","753.00","751.85","766.25","845.90","471.40","5,929,194","4,543,253,965.20","114,079"
"23-Sep-2020","EQ","812.45","812.45","783.10","800.45","792.55","793.05","798.31","845.90","471.40","6,091,530","4,862,948,639.20","100,464"
"22-Sep-2020","EQ","793.00","811.00","772.00","787.25","805.85","800.45","796.39","845.90","471.40","9,053,627","7,210,218,036.00","174,316"
"21-Sep-2020","EQ","807.00","830.00","784.30","804.65","789.60","787.25","814.49","845.90","471.40","10,789,252","8,787,687,746.65","154,482"
"18-Sep-2020","EQ","793.00","808.80","788.00","786.95","807.90","804.65","802.54","845.90","471.40","6,281,494","5,041,162,029.60","119,359"
"17-Sep-2020","EQ","788.00","811.45","781.30","792.00","787.50","786.95","797.22","845.90","471.40","7,591,229","6,051,849,563.75","150,255"
"16-Sep-2020","EQ","792.00","794.25","784.00","791.15","790.55","792.00","789.12","845.90","471.40","4,279,453","3,376,986,727.50","123,812"
"15-Sep-2020","EQ","790.75","803.10","775.00","790.75","790.00","791.15","790.81","845.90","471.40","6,339,804","5,013,555,859.05","135,100"
"14-Sep-2020","EQ","770.15","796.60","770.00","765.15","790.00","790.75","787.48","845.90","471.40","9,022,087","7,104,673,499.80","139,733"
"11-Sep-2020","EQ","749.40","770.60","747.50","750.00","763.70","765.15","762.20","845.90","471.40","4,918,291","3,748,723,223.10","80,874"
"10-Sep-2020","EQ","756.65","758.40","739.30","753.35","751.15","750.00","747.77","845.90","471.40","3,737,568","2,794,824,650.45","85,985"
"09-Sep-2020","EQ","751.95","759.95","744.70","752.25","751.50","753.35","752.19","845.90","471.40","3,038,406","2,285,466,126.00","54,467"
"08-Sep-2020","EQ","748.50","769.00","745.00","747.10","754.00","752.25","758.52","845.90","471.40","5,237,384","3,972,647,747.00","81,489"
"07-Sep-2020","EQ","749.70","751.90","734.05","748.20","746.95","747.10","743.34","845.90","471.40","3,367,905","2,503,508,647.25","77,138"
"04-Sep-2020","EQ","747.00","758.40","743.55","759.55","749.70","748.20","750.78","845.90","471.40","2,954,870","2,218,450,149.40","60,378"
"03-Sep-2020","EQ","739.95","762.00","733.10","735.20","761.00","759.55","752.31","845.90","471.40","4,606,252","3,465,348,709.25","96,237"
"02-Sep-2020","EQ","730.15","745.75","728.15","727.85","735.30","735.20","736.64","845.90","471.40","3,467,486","2,554,280,276.90","72,344"
"01-Sep-2020","EQ","739.00","752.60","722.70","741.00","735.80","727.85","736.74","845.90","471.40","3,563,913","2,625,681,887.35","59,434"
"31-Aug-2020","EQ","759.70","774.70","732.10","752.35","740.00","741.00","754.71","845.90","471.40","7,224,585","5,452,483,565.10","122,886"
"28-Aug-2020","EQ","741.00","758.35","740.00","735.60","751.90","752.35","752.04","845.90","471.40","4,223,382","3,176,154,312.20","97,099"
"27-Aug-2020","EQ","735.00","746.35","732.45","732.85","736.00","735.60","739.35","845.90","471.40","3,207,128","2,371,184,441.00","81,726"
"26-Aug-2020","EQ","740.95","741.00","727.00","738.60","731.05","732.85","732.40","845.90","471.40","3,157,124","2,312,292,230.45","65,062"
"25-Aug-2020","EQ","727.00","740.35","714.35","722.50","738.95","738.60","728.27","845.90","471.40","4,586,918","3,340,502,771.75","76,087"
"24-Aug-2020","EQ","734.95","734.95","719.25","732.60","725.40","722.50","725.44","845.90","471.40","2,385,907","1,730,822,951.10","61,484"
"21-Aug-2020","EQ","731.00","736.65","730.00","726.40","731.45","732.60","733.73","845.90","471.40","4,207,709","3,087,337,409.15","63,766"
"20-Aug-2020","EQ","720.00","732.00","716.20","726.70","725.10","726.40","725.74","845.90","471.40","6,610,632","4,797,628,831.15","102,162"
"19-Aug-2020","EQ","715.00","729.00","709.00","713.05","729.00","726.70","722.80","845.90","471.40","6,507,682","4,703,743,906.50","126,413"
"18-Aug-2020","EQ","725.00","728.00","710.20","721.05","714.50","713.05","716.05","845.90","471.40","4,752,247","3,402,866,315.90","102,239"
"17-Aug-2020","EQ","704.80","724.40","698.65","695.90","723.45","721.05","711.86","845.90","471.40","7,657,252","5,450,909,544.05","95,739"
"14-Aug-2020","EQ","692.00","711.00","692.00","697.05","693.30","695.90","702.80","845.90","471.40","6,476,600","4,551,779,824.25","119,174"
