"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jul-2022","EQ","997.00","1,014.00","989.30","1,000.00","1,011.25","1,010.70","1,003.68","1,838.00","943.70","1,842,102","1,848,883,369.30","62,119"
"30-Jun-2022","EQ","1,016.00","1,026.00","997.00","1,021.10","998.00","1,000.00","1,007.71","1,838.00","943.70","3,264,301","3,289,465,716.35","113,582"
"29-Jun-2022","EQ","1,008.00","1,027.40","1,002.55","1,020.70","1,018.45","1,021.10","1,018.69","1,838.00","943.70","3,770,663","3,841,128,719.80","73,883"
"28-Jun-2022","EQ","1,002.00","1,029.00","984.05","1,007.20","1,027.00","1,020.70","1,004.71","1,838.00","943.70","2,755,698","2,768,675,426.75","76,436"
"27-Jun-2022","EQ","996.00","1,024.10","996.00","981.20","1,005.50","1,007.20","1,013.18","1,838.00","943.70","3,796,002","3,846,018,030.40","99,851"
"24-Jun-2022","EQ","1,001.00","1,001.00","974.00","991.10","980.75","981.20","982.94","1,838.00","943.70","4,056,588","3,987,371,867.80","101,302"
"23-Jun-2022","EQ","981.10","998.55","971.25","980.00","991.95","991.10","988.98","1,838.00","943.70","2,915,172","2,883,059,461.45","97,612"
"22-Jun-2022","EQ","996.95","996.95","968.00","1,000.10","983.00","980.00","981.07","1,838.00","943.70","2,719,988","2,668,491,862.65","110,276"
"21-Jun-2022","EQ","991.40","1,004.65","980.00","979.35","999.95","1,000.10","993.77","1,838.00","943.70","3,433,536","3,412,131,363.15","90,980"
"20-Jun-2022","EQ","965.00","988.15","948.05","965.05","987.00","979.35","966.15","1,838.00","943.70","2,985,094","2,884,036,122.05","117,512"
"17-Jun-2022","EQ","971.10","974.35","943.70","975.30","962.00","965.05","960.09","1,838.00","943.70","7,043,370","6,762,267,846.10","160,810"
"16-Jun-2022","EQ","1,024.05","1,033.60","971.00","1,020.05","974.75","975.30","998.90","1,838.00","971.00","5,600,443","5,594,294,132.35","191,677"
"15-Jun-2022","EQ","1,037.00","1,037.00","1,017.80","1,030.15","1,019.90","1,020.05","1,025.41","1,838.00","1,017.80","3,238,141","3,320,414,072.30","85,579"
"14-Jun-2022","EQ","1,034.00","1,056.55","1,020.40","1,051.95","1,032.50","1,030.15","1,037.98","1,838.00","1,020.40","5,775,453","5,994,820,294.65","131,728"
"13-Jun-2022","EQ","1,081.20","1,084.60","1,050.00","1,109.85","1,056.00","1,051.95","1,064.34","1,838.00","1,030.10","2,012,004","2,141,463,447.95","91,213"
"10-Jun-2022","EQ","1,119.00","1,123.90","1,100.25","1,138.60","1,110.00","1,109.85","1,108.94","1,838.00","1,019.45","3,119,792","3,459,672,037.15","129,884"
"09-Jun-2022","EQ","1,122.00","1,141.95","1,111.65","1,124.20","1,140.00","1,138.60","1,129.88","1,838.00","1,019.45","1,323,539","1,495,446,250.00","58,578"
"08-Jun-2022","EQ","1,134.90","1,139.30","1,119.90","1,130.30","1,125.05","1,124.20","1,128.04","1,838.00","1,019.45","1,303,551","1,470,452,764.55","51,280"
"07-Jun-2022","EQ","1,130.10","1,139.80","1,120.70","1,144.20","1,131.00","1,130.30","1,130.26","1,838.00","1,019.45","1,656,444","1,872,206,236.45","52,349"
"06-Jun-2022","EQ","1,146.00","1,149.00","1,111.10","1,147.90","1,147.00","1,144.20","1,130.76","1,838.00","1,019.45","3,938,875","4,453,911,527.50","82,933"
"03-Jun-2022","EQ","1,160.00","1,182.00","1,144.10","1,146.00","1,149.35","1,147.90","1,161.66","1,838.00","994.00","3,229,236","3,751,284,334.90","70,494"
"02-Jun-2022","EQ","1,140.00","1,155.40","1,131.70","1,146.60","1,146.90","1,146.00","1,143.95","1,838.00","994.00","3,206,663","3,668,254,430.55","84,131"
"01-Jun-2022","EQ","1,186.15","1,197.00","1,143.10","1,180.25","1,147.65","1,146.60","1,163.33","1,838.00","994.00","2,419,021","2,814,129,892.15","80,238"
"31-May-2022","EQ","1,152.00","1,192.00","1,148.65","1,164.00","1,186.55","1,180.25","1,178.28","1,838.00","994.00","9,674,664","11,399,459,316.15","91,371"
"30-May-2022","EQ","1,142.90","1,170.50","1,135.45","1,123.25","1,164.40","1,164.00","1,158.71","1,838.00","994.00","2,469,771","2,861,752,631.25","89,949"
"27-May-2022","EQ","1,095.00","1,126.20","1,092.00","1,078.60","1,124.05","1,123.25","1,113.75","1,838.00","975.10","3,367,600","3,750,673,464.55","117,249"
"26-May-2022","EQ","1,070.00","1,089.50","1,055.95","1,060.15","1,081.00","1,078.60","1,073.12","1,838.00","975.10","2,946,857","3,162,317,179.25","95,496"
"25-May-2022","EQ","1,091.05","1,094.90","1,045.00","1,098.35","1,064.00","1,060.15","1,060.85","1,838.00","975.10","4,711,542","4,998,216,936.70","170,415"
"24-May-2022","EQ","1,148.00","1,151.85","1,091.00","1,142.90","1,097.00","1,098.35","1,111.82","1,838.00","975.10","3,666,196","4,076,149,806.20","113,199"
"23-May-2022","EQ","1,134.00","1,147.80","1,115.65","1,130.90","1,144.10","1,142.90","1,138.09","1,838.00","975.10","2,783,695","3,168,092,269.40","87,871"
"20-May-2022","EQ","1,128.00","1,134.80","1,114.75","1,108.35","1,134.00","1,130.90","1,127.14","1,838.00","943.00","2,461,651","2,774,617,932.30","85,814"
"19-May-2022","EQ","1,153.00","1,153.90","1,100.00","1,172.05","1,113.00","1,108.35","1,115.25","1,838.00","943.00","4,393,100","4,899,403,071.00","174,779"
"18-May-2022","EQ","1,209.00","1,230.50","1,168.50","1,198.20","1,171.45","1,172.05","1,191.87","1,838.00","943.00","5,294,021","6,309,806,371.00","165,275"
